"Parámetro","Fecha","Hora","Valor","Unidad"
"CO","2019-12-03","11:00 - 12:00","1.20","ppm"
"CO","2019-12-03","12:00 - 13:00","0.60","ppm"
"CO","2019-12-03","13:00 - 14:00","0.50","ppm"
"CO","2019-12-03","14:00 - 15:00","0.60","ppm"
"CO","2019-12-03","15:00 - 16:00","0.60","ppm"
"CO","2019-12-03","16:00 - 17:00","0.60","ppm"
"CO","2019-12-03","17:00 - 18:00","0.50","ppm"
"CO","2019-12-03","18:00 - 19:00","0.50","ppm"
"CO","2019-12-03","19:00 - 20:00","0.40","ppm"
"CO","2019-12-03","20:00 - 21:00","0.80","ppm"
"CO","2019-12-03","21:00 - 22:00","0.90","ppm"
"CO","2019-12-03","22:00 - 23:00","1.10","ppm"
"CO","2019-12-04","23:00 - 0:00","1.50","ppm"
"CO","2019-12-04","0:00 - 1:00","1.60","ppm"
"CO","2019-12-04","1:00 - 2:00","1.50","ppm"
"CO","2019-12-04","2:00 - 3:00","1.40","ppm"
"CO","2019-12-04","3:00 - 4:00","1.20","ppm"
"CO","2019-12-04","4:00 - 5:00","1.30","ppm"
"CO","2019-12-04","5:00 - 6:00","1.90","ppm"
"CO","2019-12-04","6:00 - 7:00","1.70","ppm"
"CO","2019-12-04","7:00 - 8:00","2.10","ppm"
"CO","2019-12-04","8:00 - 9:00","2.10","ppm"
"CO","2019-12-04","9:00 - 10:00","2.10","ppm"
"CO","2019-12-04","10:00 - 11:00","1.70","ppm"
"CO","2019-12-04","11:00 - 12:00","1.10","ppm"
"CO","2019-12-04","12:00 - 13:00","0.60","ppm"
"CO","2019-12-04","13:00 - 14:00","0.60","ppm"
"CO","2019-12-04","14:00 - 15:00","0.50","ppm"
"CO","2019-12-04","15:00 - 16:00","0.50","ppm"
"CO","2019-12-04","16:00 - 17:00","0.60","ppm"
"CO","2019-12-04","17:00 - 18:00","0.60","ppm"
"CO","2019-12-04","18:00 - 19:00","0.50","ppm"
"CO","2019-12-04","19:00 - 20:00","0.70","ppm"
"CO","2019-12-04","20:00 - 21:00","0.80","ppm"
"CO","2019-12-04","21:00 - 22:00","0.70","ppm"
"CO","2019-12-04","22:00 - 23:00","1.10","ppm"
"CO","2019-12-05","23:00 - 0:00","0.70","ppm"
"CO","2019-12-05","0:00 - 1:00","0.80","ppm"
"CO","2019-12-05","1:00 - 2:00","1.10","ppm"
"CO","2019-12-05","2:00 - 3:00","1.10","ppm"
"CO","2019-12-05","3:00 - 4:00","1.10","ppm"
"CO","2019-12-05","4:00 - 5:00","1.20","ppm"
"CO","2019-12-05","5:00 - 6:00","1.50","ppm"
"CO","2019-12-05","6:00 - 7:00","2.10","ppm"
"CO","2019-12-05","7:00 - 8:00","2.40","ppm"
"CO","2019-12-05","8:00 - 9:00","2.40","ppm"
"CO","2019-12-05","9:00 - 10:00","2.10","ppm"
"CO","2019-12-05","10:00 - 11:00","1.50","ppm"
"CO","2019-12-05","11:00 - 12:00","1.20","ppm"
"CO","2019-12-05","12:00 - 13:00","1.00","ppm"
"CO","2019-12-05","13:00 - 14:00","0.90","ppm"
"CO","2019-12-05","14:00 - 15:00","0.80","ppm"
"CO","2019-12-05","15:00 - 16:00","0.70","ppm"
"CO","2019-12-05","16:00 - 17:00","0.70","ppm"
"CO","2019-12-05","17:00 - 18:00","0.70","ppm"
"CO","2019-12-05","18:00 - 19:00","0.60","ppm"
"CO","2019-12-05","19:00 - 20:00","0.60","ppm"
"CO","2019-12-05","20:00 - 21:00","0.90","ppm"
"CO","2019-12-05","21:00 - 22:00","1.00","ppm"
"CO","2019-12-05","22:00 - 23:00","1.00","ppm"
"CO","2019-12-06","23:00 - 0:00","1.00","ppm"
"CO","2019-12-06","0:00 - 1:00","0.90","ppm"
"CO","2019-12-06","1:00 - 2:00","1.10","ppm"
"CO","2019-12-06","2:00 - 3:00","1.20","ppm"
"CO","2019-12-06","3:00 - 4:00","1.20","ppm"
"CO","2019-12-06","4:00 - 5:00","1.10","ppm"
"CO","2019-12-06","5:00 - 6:00","1.50","ppm"
"CO","2019-12-06","6:00 - 7:00","2.20","ppm"
"CO","2019-12-06","7:00 - 8:00","2.90","ppm"
"CO","2019-12-06","8:00 - 9:00","2.50","ppm"
"CO","2019-12-06","9:00 - 10:00","1.80","ppm"
"CO","2019-12-06","10:00 - 11:00","1.50","ppm"
"CO","2019-12-06","11:00 - 12:00","1.50","ppm"
"CO","2019-12-06","12:00 - 13:00","0.50","ppm"
"CO","2019-12-06","13:00 - 14:00","0.50","ppm"
"CO","2019-12-06","14:00 - 15:00","0.50","ppm"
"CO","2019-12-06","15:00 - 16:00","0.50","ppm"
"CO","2019-12-06","16:00 - 17:00","0.50","ppm"
"CO","2019-12-06","17:00 - 18:00","0.60","ppm"
"CO","2019-12-06","18:00 - 19:00","0.80","ppm"
"CO","2019-12-06","19:00 - 20:00","0.70","ppm"
"CO","2019-12-06","20:00 - 21:00","0.50","ppm"
"CO","2019-12-06","21:00 - 22:00","0.40","ppm"
"CO","2019-12-06","22:00 - 23:00","0.40","ppm"
"CO","2019-12-07","23:00 - 0:00","0.40","ppm"
"CO","2019-12-07","0:00 - 1:00","0.40","ppm"
"CO","2019-12-07","1:00 - 2:00","0.60","ppm"
"CO","2019-12-07","2:00 - 3:00","0.60","ppm"
"CO","2019-12-07","3:00 - 4:00","0.60","ppm"
"CO","2019-12-07","4:00 - 5:00","0.60","ppm"
"CO","2019-12-07","5:00 - 6:00","0.90","ppm"
"CO","2019-12-07","6:00 - 7:00","1.00","ppm"
"CO","2019-12-07","7:00 - 8:00","1.30","ppm"
"CO","2019-12-07","8:00 - 9:00","1.40","ppm"
"CO","2019-12-07","9:00 - 10:00","1.00","ppm"
"CO","2019-12-07","10:00 - 11:00","0.90","ppm"
"CO","2019-12-07","11:00 - 12:00","0.90","ppm"
"CO","2019-12-07","12:00 - 13:00","0.70","ppm"
"CO","2019-12-07","13:00 - 14:00","0.60","ppm"
"CO","2019-12-07","14:00 - 15:00","0.60","ppm"
"CO","2019-12-07","15:00 - 16:00","0.60","ppm"
"CO","2019-12-07","16:00 - 17:00","0.60","ppm"
"CO","2019-12-07","17:00 - 18:00","0.60","ppm"
"CO","2019-12-07","18:00 - 19:00","1.00","ppm"
"CO","2019-12-07","19:00 - 20:00","0.70","ppm"
"CO","2019-12-07","20:00 - 21:00","0.80","ppm"
"CO","2019-12-07","21:00 - 22:00","1.20","ppm"
"CO","2019-12-07","22:00 - 23:00","1.60","ppm"
"CO","2019-12-08","23:00 - 0:00","1.30","ppm"
"CO","2019-12-08","0:00 - 1:00","1.30","ppm"
"CO","2019-12-08","1:00 - 2:00","1.00","ppm"
"CO","2019-12-08","2:00 - 3:00","0.90","ppm"
"CO","2019-12-08","3:00 - 4:00","0.90","ppm"
"CO","2019-12-08","4:00 - 5:00","0.90","ppm"
"CO","2019-12-08","5:00 - 6:00","0.90","ppm"
"CO","2019-12-08","6:00 - 7:00","1.40","ppm"
"CO","2019-12-08","7:00 - 8:00","1.30","ppm"
"CO","2019-12-08","8:00 - 9:00","1.60","ppm"
"CO","2019-12-08","9:00 - 10:00","1.40","ppm"
"CO","2019-12-08","10:00 - 11:00","1.20","ppm"
"CO","2019-12-08","11:00 - 12:00","1.10","ppm"
"CO","2019-12-08","12:00 - 13:00","1.10","ppm"
"CO","2019-12-08","13:00 - 14:00","1.00","ppm"
"CO","2019-12-08","14:00 - 15:00","0.70","ppm"
"CO","2019-12-08","15:00 - 16:00","0.60","ppm"
"CO","2019-12-08","16:00 - 17:00","0.60","ppm"
"CO","2019-12-08","17:00 - 18:00","0.60","ppm"
"CO","2019-12-08","18:00 - 19:00","0.40","ppm"
"CO","2019-12-08","19:00 - 20:00","0.60","ppm"
"CO","2019-12-08","20:00 - 21:00","0.80","ppm"
"CO","2019-12-08","21:00 - 22:00","1.10","ppm"
"CO","2019-12-08","22:00 - 23:00","2.10","ppm"
"CO","2019-12-09","23:00 - 0:00","2.30","ppm"
"CO","2019-12-09","3:00 - 4:00","1.40","ppm"
"CO","2019-12-09","4:00 - 5:00","1.60","ppm"
"CO","2019-12-09","5:00 - 6:00","2.10","ppm"
"CO","2019-12-09","6:00 - 7:00","2.50","ppm"
"CO","2019-12-09","7:00 - 8:00","3.60","ppm"
"CO","2019-12-09","8:00 - 9:00","3.50","ppm"
"CO","2019-12-09","9:00 - 10:00","2.60","ppm"
"CO","2019-12-09","10:00 - 11:00","1.50","ppm"
"CO","2019-12-09","11:00 - 12:00","1.00","ppm"
"CO","2019-12-09","12:00 - 13:00","0.70","ppm"
"CO","2019-12-09","13:00 - 14:00","0.70","ppm"
"CO","2019-12-09","14:00 - 15:00","0.70","ppm"
"CO","2019-12-09","15:00 - 16:00","0.90","ppm"
"CO","2019-12-09","16:00 - 17:00","0.90","ppm"
"CO","2019-12-09","17:00 - 18:00","0.90","ppm"
"CO","2019-12-09","18:00 - 19:00","1.10","ppm"
"CO","2019-12-09","19:00 - 20:00","1.30","ppm"
"CO","2019-12-09","20:00 - 21:00","1.50","ppm"
"CO","2019-12-09","21:00 - 22:00","1.60","ppm"
"CO","2019-12-09","22:00 - 23:00","1.20","ppm"
"CO","2019-12-10","23:00 - 0:00","1.50","ppm"
"CO","2019-12-10","0:00 - 1:00","1.60","ppm"
"CO","2019-12-10","1:00 - 2:00","1.00","ppm"
"CO","2019-12-10","2:00 - 3:00","0.90","ppm"
"CO","2019-12-10","3:00 - 4:00","1.00","ppm"
"CO","2019-12-10","4:00 - 5:00","1.00","ppm"
"CO","2019-12-10","5:00 - 6:00","2.30","ppm"
"CO","2019-12-10","6:00 - 7:00","3.30","ppm"
"CO","2019-12-10","7:00 - 8:00","2.90","ppm"
"CO","2019-12-10","8:00 - 9:00","3.00","ppm"
"CO","2019-12-10","9:00 - 10:00","2.40","ppm"
"CO","2019-12-10","10:00 - 11:00","1.80","ppm"
"CO","2019-12-10","11:00 - 12:00","1.20","ppm"
"CO","2019-12-10","12:00 - 13:00","1.10","ppm"
"CO","2019-12-10","13:00 - 14:00","0.90","ppm"
"CO","2019-12-10","14:00 - 15:00","0.70","ppm"
"CO","2019-12-10","15:00 - 16:00","0.70","ppm"
"CO","2019-12-10","16:00 - 17:00","0.90","ppm"
"CO","2019-12-10","17:00 - 18:00","0.90","ppm"
"CO","2019-12-10","18:00 - 19:00","1.10","ppm"
"CO","2019-12-10","19:00 - 20:00","1.40","ppm"
"CO","2019-12-10","20:00 - 21:00","1.60","ppm"
"CO","2019-12-10","21:00 - 22:00","1.00","ppm"
"CO","2019-12-10","22:00 - 23:00","0.90","ppm"
"CO","2019-12-11","23:00 - 0:00","0.60","ppm"
"CO","2019-12-11","0:00 - 1:00","0.70","ppm"
"CO","2019-12-11","1:00 - 2:00","0.70","ppm"
"CO","2019-12-11","2:00 - 3:00","0.80","ppm"
"CO","2019-12-11","3:00 - 4:00","0.70","ppm"
"CO","2019-12-11","4:00 - 5:00","0.90","ppm"
"CO","2019-12-11","5:00 - 6:00","1.20","ppm"
"CO","2019-12-11","6:00 - 7:00","1.50","ppm"
"CO","2019-12-11","7:00 - 8:00","1.70","ppm"
"CO","2019-12-11","8:00 - 9:00","1.40","ppm"
"CO","2019-12-11","9:00 - 10:00","1.30","ppm"
"CO","2019-12-11","10:00 - 11:00","1.40","ppm"
"CO","2019-12-11","11:00 - 12:00","1.00","ppm"
"CO","2019-12-11","12:00 - 13:00","0.90","ppm"
"CO","2019-12-11","13:00 - 14:00","0.80","ppm"
"CO","2019-12-11","14:00 - 15:00","0.90","ppm"
"CO","2019-12-11","15:00 - 16:00","0.90","ppm"
"CO","2019-12-11","16:00 - 17:00","1.00","ppm"
"CO","2019-12-11","17:00 - 18:00","0.80","ppm"
"CO","2019-12-11","18:00 - 19:00","0.80","ppm"
"CO","2019-12-11","19:00 - 20:00","0.90","ppm"
"CO","2019-12-11","20:00 - 21:00","1.20","ppm"
"CO","2019-12-11","21:00 - 22:00","1.20","ppm"
"CO","2019-12-11","22:00 - 23:00","1.20","ppm"
"CO","2019-12-12","23:00 - 0:00","1.20","ppm"
"CO","2019-12-12","0:00 - 1:00","1.10","ppm"
"CO","2019-12-12","1:00 - 2:00","1.20","ppm"
"CO","2019-12-12","2:00 - 3:00","1.20","ppm"
"CO","2019-12-12","3:00 - 4:00","1.10","ppm"
"CO","2019-12-12","4:00 - 5:00","1.40","ppm"
"CO","2019-12-12","5:00 - 6:00","1.90","ppm"
"CO","2019-12-12","6:00 - 7:00","1.90","ppm"
"CO","2019-12-12","7:00 - 8:00","1.80","ppm"
"CO","2019-12-12","8:00 - 9:00","2.20","ppm"
"CO","2019-12-12","9:00 - 10:00","2.00","ppm"
"CO","2019-12-12","10:00 - 11:00","1.70","ppm"
"CO","2019-12-12","11:00 - 12:00","1.40","ppm"
"CO","2019-12-12","12:00 - 13:00","1.20","ppm"
"CO","2019-12-12","13:00 - 14:00","0.70","ppm"
"CO","2019-12-12","14:00 - 15:00","0.70","ppm"
"CO","2019-12-12","15:00 - 16:00","0.70","ppm"
"CO","2019-12-12","16:00 - 17:00","0.60","ppm"
"CO","2019-12-12","17:00 - 18:00","0.60","ppm"
"CO","2019-12-12","18:00 - 19:00","0.50","ppm"
"CO","2019-12-12","19:00 - 20:00","0.70","ppm"
"CO","2019-12-12","20:00 - 21:00","0.60","ppm"
"CO","2019-12-12","21:00 - 22:00","0.80","ppm"
"CO","2019-12-12","22:00 - 23:00","0.60","ppm"
"CO","2019-12-13","23:00 - 0:00","0.70","ppm"
"CO","2019-12-13","0:00 - 1:00","0.90","ppm"
"CO","2019-12-13","1:00 - 2:00","1.30","ppm"
"CO","2019-12-13","2:00 - 3:00","1.20","ppm"
"CO","2019-12-13","3:00 - 4:00","1.00","ppm"
