"Parámetro","Fecha","Hora","Valor","Unidad"
"NO2","2019-12-07","3:00 - 4:00","0.011","ppm"
"NO2","2019-12-07","4:00 - 5:00","0.011","ppm"
"NO2","2019-12-07","5:00 - 6:00","0.011","ppm"
"NO2","2019-12-07","6:00 - 7:00","0.018","ppm"
"NO2","2019-12-07","7:00 - 8:00","0.027","ppm"
"NO2","2019-12-07","8:00 - 9:00","0.024","ppm"
"NO2","2019-12-07","9:00 - 10:00","0.031","ppm"
"NO2","2019-12-07","10:00 - 11:00","0.042","ppm"
"NO2","2019-12-07","11:00 - 12:00","0.055","ppm"
"NO2","2019-12-07","12:00 - 13:00","0.048","ppm"
"NO2","2019-12-07","13:00 - 14:00","0.039","ppm"
"NO2","2019-12-07","14:00 - 15:00","0.034","ppm"
"NO2","2019-12-07","15:00 - 16:00","0.040","ppm"
"NO2","2019-12-07","16:00 - 17:00","0.039","ppm"
"NO2","2019-12-07","17:00 - 18:00","0.044","ppm"
"NO2","2019-12-07","18:00 - 19:00","0.050","ppm"
"NO2","2019-12-07","19:00 - 20:00","0.054","ppm"
"NO2","2019-12-07","20:00 - 21:00","0.051","ppm"
"NO2","2019-12-07","21:00 - 22:00","0.038","ppm"
"NO2","2019-12-07","22:00 - 23:00","0.026","ppm"
"NO2","2019-12-08","23:00 - 0:00","0.022","ppm"
"NO2","2019-12-08","0:00 - 1:00","0.020","ppm"
"NO2","2019-12-08","1:00 - 2:00","0.018","ppm"
"NO2","2019-12-08","2:00 - 3:00","0.017","ppm"
"NO2","2019-12-08","3:00 - 4:00","0.015","ppm"
"NO2","2019-12-08","4:00 - 5:00","0.017","ppm"
"NO2","2019-12-08","5:00 - 6:00","0.022","ppm"
"NO2","2019-12-08","6:00 - 7:00","0.030","ppm"
"NO2","2019-12-08","7:00 - 8:00","0.031","ppm"
"NO2","2019-12-08","8:00 - 9:00","0.034","ppm"
"NO2","2019-12-08","9:00 - 10:00","0.032","ppm"
"NO2","2019-12-08","10:00 - 11:00","0.031","ppm"
"NO2","2019-12-08","11:00 - 12:00","0.035","ppm"
"NO2","2019-12-08","12:00 - 13:00","0.030","ppm"
"NO2","2019-12-08","13:00 - 14:00","0.031","ppm"
"NO2","2019-12-08","14:00 - 15:00","0.023","ppm"
"NO2","2019-12-08","15:00 - 16:00","0.026","ppm"
"NO2","2019-12-08","16:00 - 17:00","0.018","ppm"
"NO2","2019-12-08","17:00 - 18:00","0.023","ppm"
"NO2","2019-12-08","18:00 - 19:00","0.037","ppm"
"NO2","2019-12-08","19:00 - 20:00","0.041","ppm"
"NO2","2019-12-08","20:00 - 21:00","0.043","ppm"
"NO2","2019-12-08","21:00 - 22:00","0.027","ppm"
"NO2","2019-12-08","22:00 - 23:00","0.021","ppm"
"NO2","2019-12-09","3:00 - 4:00","0.008","ppm"
"NO2","2019-12-09","4:00 - 5:00","0.013","ppm"
"NO2","2019-12-09","5:00 - 6:00","0.024","ppm"
"NO2","2019-12-09","6:00 - 7:00","0.032","ppm"
"NO2","2019-12-09","7:00 - 8:00","0.039","ppm"
