date, pm25, pm10, o3, no2, so2, co
2019/11/14, 35, 28, 48, 22, 4, 5
2019/11/15, 68, 37, 38, 29, 13, 7
2019/11/16, 84, 22, 61, 16, 5, 4
2019/11/17, 59, 16, 46, 14, 3, 3
2019/11/18, 44, 32, 61, 24, 6, 6
2019/11/19, 77, 33, 36, 25, 5, 6
2019/11/20, 71, 42, 44, 31, 6, 9
2019/11/21, 85, 35, 45, 27, 5, 8
2019/11/22, 66, 30, 55, 22, 8, 5
2019/11/23, 59, 31, 48, 18, 9, 5
2019/11/24, 71, 30, 52, 23, 4, 6
2019/11/25, 67, 27, 17, 24, 3, 6
2019/11/26, 60, 39, 66, , 6, 7
2019/11/27, 75, 31, 37, , 7, 7
2019/11/28, 58, 28, 47, , 8, 6
2019/11/29, 55, 36, 60, , 7, 7
2019/11/30, 73, 26, 46, , 3, 3
2019/12/1, 49, 34, 50, , 6, 5
2019/12/2, 72, 34, 45, 27, 6, 6
2019/12/3, 68, 32, 67, 28, 5, 6
2019/12/4, 62, 35, 60, 32, 6, 7
2019/12/5, 62, 30, 34, 26, 5, 6
2019/12/6, 47, 34, 53, 29, 7, 6
2019/12/7, 69, 40, 82, 24, 8, 7
2019/12/8, 84, 33, 56, 30, 5, 8
2019/12/9, 58, 40, 66, 30, 4, 7
2019/12/10, 73, 44, 49, , 7, 6
2019/12/11, 92, 38, 35, 28, 6, 7
2019/12/12, 80, 30, 37, 23, 3, 6
2019/12/13, 58, 33, 56, 24, 4, 7
2019/12/14, 66, 40, 82, 23, 4, 7
2019/12/15, 85, 34, 54, 26, 3, 7
2019/12/16, 69, 40, 47, 25, 7, 7
2019/12/17, 78, 59, 31, 34, 14, 8
2019/12/18, 120, 61, 73, 36, 12, 10
2019/12/19, 128, 51, 29, 41, 13, 10
2019/12/20, 108, 44, 35, 25, 16, 6
2019/12/21, 95, 40, 13, 20, 15, 6
2019/12/22, 94, 40, 57, 21, 7, 7
2019/12/23, 94, 26, 30, 20, 5, 6
2019/12/24, 61, 33, 67, 14, 4, 5
2019/12/25, 87, 29, 50, 23, 7, 6
2019/12/26, 66, 43, 68, 25, 7, 7
2019/12/27, 91, 29, 17, 18, 3, 5
2019/12/28, 75, , , , , 
2019/7/1, 30, 14, 34, 19, 1, 4
2019/7/2, 37, 18, 45, 19, 1, 5
2019/7/3, 41, 31, 63, 18, 6, 5
2019/7/4, 71, 31, 74, 19, 4, 5
2019/7/5, 68, 23, 47, 14, 2, 3
2019/7/6, 51, 22, 81, 10, 3, 3
2019/7/7, 55, 23, 60, 18, 3, 4
2019/7/8, 52, 26, 80, 20, 1, 5
2019/7/9, 61, 21, 36, 15, 6, 4
2019/7/10, 52, 28, 30, 31, 1, 7
2019/7/11, 69, 20, 39, 23, 1, 6
2019/7/12, 60, 18, 67, 19, 1, 5
2019/7/13, 54, , , , , 
2019/7/18, 79, 15, 52, 17, 1, 4
2019/7/19, 46, 26, 82, 15, 1, 4
2019/7/20, 61, 13, 18, 14, 1, 4
2019/7/21, 39, 20, 61, 17, 1, 4
2019/7/22, 52, 20, 51, 16, 1, 3
2019/7/23, 52, 20, 38, 20, 1, 5
2019/7/24, 52, 19, 30, 22, 1, 5
2019/7/25, 54, 18, 31, 18, 1, 4
2019/7/26, 50, 16, 67, 15, 1, 4
2019/7/27, 45, 16, 59, 10, 1, 3
2019/7/28, 41, 17, 49, 14, 1, 4
2019/7/29, 41, 27, 62, 17, , 4
2019/7/30, 53, 31, 57, 17, 4, 4
2019/7/31, 65, 22, 59, 13, 2, 3
2019/8/1, 45, 27, 77, 19, 3, 4
2019/8/2, 54, 19, 78, 14, 1, 3
2019/8/3, 48, 24, 76, 10, 5, 3
2019/8/4, 65, 20, 41, 18, 1, 5
2019/8/5, 58, 19, 49, 20, 2, 5
2019/8/6, 54, 16, 30, 20, 1, 5
2019/8/7, 45, 15, 57, 17, 1, 5
2019/8/8, 45, 26, 60, 16, 5, 4
2019/8/9, 63, 14, 23, 11, 2, 3
2019/8/10, 38, 15, 58, 12, 1, 4
2019/8/11, 45, 12, 50, 14, 1, 4
2019/8/12, 33, 18, 59, 14, 1, 4
2019/8/13, 45, 18, 61, 14, 1, 4
2019/8/14, 46, 19, 78, 13, 3, 3
2019/8/15, 49, 18, 73, 15, 1, 4
2019/8/16, 42, 24, 84, 14, 1, 4
2019/8/17, 55, 24, 70, 13, 14, 4
2019/8/18, 64, 17, 28, 12, 4, 3
2019/8/19, 40, 20, 60, 13, 1, 3
2019/8/20, 37, 16, 39, 13, 2, 3
2019/8/21, 38, 22, 42, 18, 2, 5
2019/8/22, 54, 29, 43, 23, 2, 6
2019/8/23, 73, 20, 73, 16, 1, 5
2019/8/24, 57, 21, 72, 11, 1, 4
2019/8/25, 61, 27, 73, 20, 1, 6
2019/8/26, 69, 21, 64, 15, 2, 5
2019/8/27, 57, 26, 55, 14, 2, 3
2019/8/28, 60, 26, 73, 17, 3, 4
2019/8/29, 58, 18, 70, 15, 1, 4
2019/8/30, 40, 21, 65, 12, 7, 3
2019/8/31, 45, 23, 68, 12, 4, 3
2019/9/1, 48, 26, 42, 15, 1, 4
2019/9/2, 54, 21, 53, 15, 3, 3
2019/9/3, 48, 23, 50, 17, 1, 5
2019/9/4, 54, 28, 59, 22, 2, 6
2019/9/5, 66, 27, 70, 17, 4, 4
2019/9/6, 67, 26, 49, 16, 7, 5
2019/9/7, 67, 19, 70, 16, 3, 4
2019/9/8, 50, 22, 56, 19, 2, 4
2019/9/9, 50, 27, 52, 20, 6, 5
2019/9/10, 68, 18, 48, 16, 2, 4
2019/9/11, 46, 20, 37, 17, 5, 4
2019/9/12, 49, 18, 21, 18, 1, 4
2019/9/13, 43, 12, 28, 13, 1, 3
2019/9/14, 28, 13, 71, 10, 1, 3
2019/9/15, 36, 26, 65, 11, 7, 3
2019/9/16, 69, 22, 80, 16, 2, 4
2019/9/17, 60, 11, 23, 14, 2, 4
2019/9/18, 28, 17, 35, 19, 3, 5
2019/9/19, 48, 25, 72, 20, 6, 5
2019/9/20, 63, 21, 65, 16, 4, 3
2019/9/21, 53, 21, 68, 11, 8, 3
2019/9/22, 55, 30, 72, 22, 9, 5
2019/9/23, 66, 31, 86, 19, 9, 5
2019/9/24, 72, 30, 64, 21, 3, 6
