"Parámetro","Fecha","Hora","Valor","Unidad"
"DV","2019-12-07","8:00 - 9:00","85","°A"
"DV","2019-12-07","9:00 - 10:00","55","°A"
"DV","2019-12-07","10:00 - 11:00","47","°A"
"DV","2019-12-07","11:00 - 12:00","18","°A"
"DV","2019-12-07","12:00 - 13:00","50","°A"
"DV","2019-12-07","13:00 - 14:00","58","°A"
"DV","2019-12-07","14:00 - 15:00","276","°A"
"DV","2019-12-07","15:00 - 16:00","275","°A"
"DV","2019-12-07","16:00 - 17:00","23","°A"
"DV","2019-12-07","17:00 - 18:00","149","°A"
"DV","2019-12-07","18:00 - 19:00","163","°A"
"DV","2019-12-07","19:00 - 20:00","83","°A"
"DV","2019-12-07","20:00 - 21:00","317","°A"
"DV","2019-12-07","21:00 - 22:00","291","°A"
"DV","2019-12-07","22:00 - 23:00","299","°A"
"DV","2019-12-08","23:00 - 0:00","310","°A"
"DV","2019-12-08","0:00 - 1:00","301","°A"
"DV","2019-12-08","1:00 - 2:00","213","°A"
"DV","2019-12-08","2:00 - 3:00","100","°A"
"DV","2019-12-08","3:00 - 4:00","72","°A"
"DV","2019-12-08","4:00 - 5:00","73","°A"
"DV","2019-12-08","5:00 - 6:00","91","°A"
"DV","2019-12-08","6:00 - 7:00","34","°A"
"DV","2019-12-08","7:00 - 8:00","39","°A"
"DV","2019-12-08","8:00 - 9:00","88","°A"
"DV","2019-12-08","9:00 - 10:00","82","°A"
"DV","2019-12-08","10:00 - 11:00","91","°A"
"DV","2019-12-08","11:00 - 12:00","20","°A"
"DV","2019-12-08","12:00 - 13:00","2","°A"
"DV","2019-12-08","13:00 - 14:00","56","°A"
"DV","2019-12-08","14:00 - 15:00","251","°A"
"DV","2019-12-08","15:00 - 16:00","302","°A"
"DV","2019-12-08","16:00 - 17:00","270","°A"
"DV","2019-12-08","17:00 - 18:00","15","°A"
"DV","2019-12-08","18:00 - 19:00","332","°A"
"DV","2019-12-08","19:00 - 20:00","151","°A"
"DV","2019-12-08","20:00 - 21:00","259","°A"
"DV","2019-12-08","21:00 - 22:00","280","°A"
"DV","2019-12-08","22:00 - 23:00","261","°A"
"DV","2019-12-09","23:00 - 0:00","301","°A"
"DV","2019-12-09","0:00 - 1:00","295","°A"
"DV","2019-12-09","1:00 - 2:00","144","°A"
"DV","2019-12-09","2:00 - 3:00","163","°A"
"DV","2019-12-09","3:00 - 4:00","193","°A"
"DV","2019-12-09","4:00 - 5:00","199","°A"
"DV","2019-12-09","5:00 - 6:00","165","°A"
"DV","2019-12-09","6:00 - 7:00","137","°A"
"DV","2019-12-09","7:00 - 8:00","134","°A"
"DV","2019-12-09","8:00 - 9:00","101","°A"
"DV","2019-12-09","9:00 - 10:00","112","°A"
"DV","2019-12-09","10:00 - 11:00","128","°A"
"DV","2019-12-09","11:00 - 12:00","102","°A"
"DV","2019-12-09","12:00 - 13:00","123","°A"
"DV","2019-12-09","13:00 - 14:00","104","°A"
"DV","2019-12-09","14:00 - 15:00","118","°A"
"DV","2019-12-09","15:00 - 16:00","106","°A"
"DV","2019-12-09","16:00 - 17:00","112","°A"
"DV","2019-12-09","17:00 - 18:00","118","°A"
"DV","2019-12-09","18:00 - 19:00","123","°A"
"DV","2019-12-09","19:00 - 20:00","113","°A"
"DV","2019-12-09","20:00 - 21:00","38","°A"
"DV","2019-12-09","21:00 - 22:00","101","°A"
"DV","2019-12-09","22:00 - 23:00","89","°A"
"DV","2019-12-10","23:00 - 0:00","295","°A"
"DV","2019-12-10","0:00 - 1:00","176","°A"
"DV","2019-12-10","1:00 - 2:00","176","°A"
"DV","2019-12-10","2:00 - 3:00","197","°A"
"DV","2019-12-10","3:00 - 4:00","165","°A"
"DV","2019-12-10","4:00 - 5:00","185","°A"
"DV","2019-12-10","5:00 - 6:00","203","°A"
"DV","2019-12-10","6:00 - 7:00","148","°A"
"DV","2019-12-10","7:00 - 8:00","136","°A"
"DV","2019-12-10","8:00 - 9:00","74","°A"
"DV","2019-12-10","9:00 - 10:00","82","°A"
"DV","2019-12-10","10:00 - 11:00","116","°A"
"DV","2019-12-10","11:00 - 12:00","130","°A"
"DV","2019-12-10","12:00 - 13:00","163","°A"
"DV","2019-12-10","13:00 - 14:00","84","°A"
"DV","2019-12-10","14:00 - 15:00","17","°A"
"DV","2019-12-10","15:00 - 16:00","149","°A"
"DV","2019-12-10","16:00 - 17:00","101","°A"
"DV","2019-12-10","17:00 - 18:00","138","°A"
"DV","2019-12-10","18:00 - 19:00","160","°A"
