date,pm25,pm10,o3,no2,so2,co
2019/8/28,67,50,43,22,2,8
2019/8/29,68,49,46,23,2,9
2019/8/30,65,43,40,21,2,8
2019/8/31,55,31,46,14,2,6
2019/9/1,46,39,32,17,1,7
2019/9/2,45,32,37,18,1,6
2019/9/3,52,47,43,29,2,11
2019/9/4,71,46,40,25,1,10
2019/9/5,69,46,42,23,2,9
2019/9/6,72,40,38,21,4,8
2019/9/7,68,36,44,19,5,8
2019/9/8,61,43,47,26,2,10
2019/9/9,63,43,34,26,3,10
2019/9/10,69,39,28,19,1,9
2019/9/11,62,35,28,15,2,7
2019/9/12,47,24,17,18,1,7
2019/9/13,30,16,27,14,1,6
2019/9/14,25,17,41,12,1,5
2019/9/15,26,32,42,17,4,7
2019/9/16,61,36,42,27,2,10
2019/9/17,61,36,30,23,1,9
2019/9/18,56,47,33,34,2,14
2019/9/19,82,52,44,28,2,13
2019/9/20,84,34,36,21,1,9
2019/9/21,50,32,44,16,2,7
2019/9/22,52,41,49,22,2,9
2019/9/23,58,47,59,30,9,11
2019/9/24,79,47,51,34,2,13
2019/9/25,100,54,40,27,2,11
2019/9/26,99,38,39,19,1,8
2019/9/27,47,1,35,21,2,8
2019/9/28,7,,14,14,1,8
2019/4/1,86,70,38,32,17,11
2019/4/2,100,64,29,31,6,11
2019/4/3,83,64,35,35,5,10
2019/4/4,97,64,33,31,3,10
2019/4/5,104,61,36,32,3,10
2019/4/6,101,55,41,21,3,10
2019/4/7,84,58,36,32,9,9
2019/4/8,99,39,36,21,3,7
2019/4/9,64,60,49,34,4,12
2019/4/10,86,69,44,30,3,13
2019/4/11,83,67,39,30,3,10
2019/4/12,84,50,45,26,3,8
2019/4/13,64,,,,,
2019/1/1,162,71,32,34,17,13
2019/1/2,112,83,48,42,10,16
2019/1/3,124,78,57,42,9,17
2019/1/4,118,82,52,44,13,15
2019/1/5,119,58,51,34,8,14
2019/1/6,89,75,38,37,8,14
2019/1/7,96,71,38,35,7,13
2019/1/8,91,58,38,27,14,12
2019/1/9,88,46,43,21,5,8
2019/1/10,78,63,52,31,9,12
2019/1/11,101,53,37,28,19,10
2019/1/12,103,23,33,12,3,6
2019/1/13,55,33,29,16,6,8
2019/1/14,62,58,35,28,14,11
2019/1/15,93,69,44,30,10,9
2019/1/16,106,70,36,32,23,11
2019/1/17,106,68,43,32,18,11
2019/1/18,104,64,32,28,10,11
2019/1/19,95,40,36,17,6,6
2019/1/20,68,75,50,41,20,13
2019/1/21,106,98,42,44,10,16
2019/1/22,118,61,42,35,9,12
2019/1/23,90,73,32,33,7,12
2019/1/24,100,74,36,32,7,11
2019/1/25,98,59,29,29,6,11
2019/1/26,80,29,40,14,5,5
2019/1/27,50,58,40,31,5,10
2019/1/28,76,77,49,34,7,13
2019/1/29,103,55,35,29,5,10
