Hora,CO_M,NO2_M,NOx_M,SO2_M,O3_M,TMP_M,DV_M,VV_M,HR_M,CO_P,NO2_P,NOx_P,SO2_P,O3_P,TMP_P,DV_P,VV_P,HR_P,CO_T,NO2_T,NOx_T,SO2_T,O3_T,TMP_T,DV_T,VV_T,HR_T,CO_X,NO2_X,NOx_X,SO2_X,O3_X,TMP_X,DV_X,VV_X,HR_X
3:00 - 4:00,"(1.678, 1.85]","(0.0332, 0.038]","(0.0729, 0.0891]","(0.000902, 0.00644]","(0.000889, 0.00717]","(10.189, 11.211]","(120.0, 140.0]","(2.172, 3.244]","(65.333, 70.278]","(0.733, 0.839]","(0.027, 0.0308]","(0.0328, 0.0418]","(0.000936, 0.00456]","(0.00906, 0.0161]","(9.5, 10.467]","(199.444, 219.389]","(3.889, 4.933]","(55.444, 59.667]","(1.311, 1.533]","(0.0266, 0.0314]","(0.0607, 0.0779]","(0.000884, 0.00744]","(0.000908, 0.00611]","(9.667, 10.756]","(240.333, 260.278]","(1.739, 2.878]","(65.333, 69.5]","(2.322, 2.611]","(0.0335, 0.039]","(0.102, 0.125]","(0.00578, 0.00956]","(0.00492, 0.00956]","(10.411, 11.389]","(60.833, 80.778]","(4.617, 6.089]","(58.667, 63.056]"
4:00 - 5:00,"(1.85, 2.022]","(0.038, 0.0428]","(0.0891, 0.105]","(0.00644, 0.0119]","(0.000889, 0.00717]","(9.167, 10.189]","(80.0, 100.0]","(3.244, 4.317]","(65.333, 70.278]","(0.417, 0.522]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0161, 0.0232]","(8.533, 9.5]","(179.5, 199.444]","(3.889, 4.933]","(42.778, 47.0]","(0.867, 1.089]","(0.0266, 0.0314]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.000908, 0.00611]","(8.578, 9.667]","(200.444, 220.389]","(1.739, 2.878]","(65.333, 69.5]","(2.033, 2.322]","(0.028, 0.0335]","(0.0788, 0.102]","(0.00578, 0.00956]","(0.00492, 0.00956]","(9.433, 10.411]","(40.889, 60.833]","(1.672, 3.144]","(58.667, 63.056]"
5:00 - 6:00,"(1.678, 1.85]","(0.0332, 0.038]","(0.0891, 0.105]","(0.00644, 0.0119]","(0.000889, 0.00717]","(9.167, 10.189]","(60.0, 80.0]","(1.081, 2.172]","(65.333, 70.278]","(0.628, 0.733]","(0.0193, 0.0232]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.00906, 0.0161]","(7.567, 8.533]","(219.389, 239.333]","(4.933, 5.978]","(47.0, 51.222]","(0.867, 1.089]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.000908, 0.00611]","(7.489, 8.578]","(240.333, 260.278]","(2.878, 4.017]","(65.333, 69.5]","(2.9, 3.189]","(0.028, 0.0335]","(0.149, 0.172]","(0.00578, 0.00956]","(0.00492, 0.00956]","(9.433, 10.411]","(180.5, 200.444]","(0.174, 1.672]","(63.056, 67.444]"
6:00 - 7:00,"(2.194, 2.367]","(0.0332, 0.038]","(0.122, 0.138]","(0.000902, 0.00644]","(0.000889, 0.00717]","(8.144, 9.167]","(100.0, 120.0]","(2.172, 3.244]","(70.278, 75.222]","(0.311, 0.417]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0161, 0.0232]","(7.567, 8.533]","(199.444, 219.389]","(4.933, 5.978]","(42.778, 47.0]","(0.644, 0.867]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.000908, 0.00611]","(7.489, 8.578]","(220.389, 240.333]","(0.58, 1.739]","(65.333, 69.5]","(2.611, 2.9]","(0.0225, 0.028]","(0.102, 0.125]","(0.00578, 0.00956]","(0.00492, 0.00956]","(8.456, 9.433]","(80.778, 100.722]","(1.672, 3.144]","(63.056, 67.444]"
7:00 - 8:00,"(1.85, 2.022]","(0.0283, 0.0332]","(0.0891, 0.105]","(0.000902, 0.00644]","(0.000889, 0.00717]","(8.144, 9.167]","(160.0, 180.0]","(2.172, 3.244]","(65.333, 70.278]","(0.417, 0.522]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.00906, 0.0161]","(7.567, 8.533]","(219.389, 239.333]","(4.933, 5.978]","(47.0, 51.222]","(0.644, 0.867]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.000908, 0.00611]","(6.38, 7.489]","(260.278, 280.222]","(2.878, 4.017]","(65.333, 69.5]","(2.322, 2.611]","(0.0225, 0.028]","(0.149, 0.172]","(0.00578, 0.00956]","(0.00492, 0.00956]","(8.456, 9.433]","(220.389, 240.333]","(0.174, 1.672]","(63.056, 67.444]"
8:00 - 9:00,"(1.506, 1.678]","(0.0283, 0.0332]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.00717, 0.0133]","(10.189, 11.211]","(160.0, 180.0]","(2.172, 3.244]","(55.444, 60.389]","(0.311, 0.417]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0232, 0.0302]","(10.467, 11.433]","(219.389, 239.333]","(3.889, 4.933]","(38.556, 42.778]","(0.867, 1.089]","(0.0217, 0.0266]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.00611, 0.0112]","(8.578, 9.667]","(280.222, 300.167]","(2.878, 4.017]","(57.0, 61.167]","(2.322, 2.611]","(0.039, 0.0445]","(0.125, 0.149]","(0.00578, 0.00956]","(0.00492, 0.00956]","(10.411, 11.389]","(220.389, 240.333]","(3.144, 4.617]","(58.667, 63.056]"
9:00 - 10:00,"(1.85, 2.022]","(0.0573, 0.0622]","(0.0729, 0.0891]","(0.000902, 0.00644]","(0.0257, 0.0318]","(12.233, 13.256]","(320.0, 340.0]","(4.317, 5.389]","(55.444, 60.389]","(0.417, 0.522]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0373, 0.0443]","(12.4, 13.367]","(19.944, 39.889]","(3.889, 4.933]","(42.778, 47.0]","(1.089, 1.311]","(0.0412, 0.0461]","(0.0607, 0.0779]","(0.00744, 0.0139]","(0.0266, 0.0317]","(11.844, 12.933]","(300.167, 320.111]","(2.878, 4.017]","(48.667, 52.833]","(1.744, 2.033]","(0.05, 0.0555]","(0.0788, 0.102]","(0.00578, 0.00956]","(0.0278, 0.0323]","(12.367, 13.344]","(100.722, 120.667]","(1.672, 3.144]","(49.889, 54.278]"
10:00 - 11:00,"(1.161, 1.333]","(0.0428, 0.0477]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.0565, 0.0627]","(14.278, 15.3]","(40.0, 60.0]","(4.317, 5.389]","(45.556, 50.5]","(0.522, 0.628]","(0.0193, 0.0232]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.0514, 0.0584]","(14.333, 15.3]","(19.944, 39.889]","(4.933, 5.978]","(38.556, 42.778]","(1.089, 1.311]","(0.051, 0.0559]","(0.0607, 0.0779]","(0.0203, 0.0268]","(0.0419, 0.047]","(14.022, 15.111]","(340.056, 360.0]","(4.017, 5.156]","(40.333, 44.5]","(1.456, 1.744]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00578, 0.00956]","(0.0506, 0.0551]","(15.3, 16.278]","(60.833, 80.778]","(1.672, 3.144]","(36.722, 41.111]"
11:00 - 12:00,"(0.989, 1.161]","(0.0283, 0.0332]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.075, 0.0812]","(16.322, 17.344]","(60.0, 80.0]","(5.389, 6.461]","(35.667, 40.611]","(0.733, 0.839]","(0.0232, 0.027]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.0796, 0.0867]","(16.267, 17.233]","(39.889, 59.833]","(5.978, 7.022]","(34.333, 38.556]","(0.422, 0.644]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.00744, 0.0139]","(0.0521, 0.0572]","(17.289, 18.378]","(20.944, 40.889]","(2.878, 4.017]","(27.833, 32.0]","(0.878, 1.167]","(0.017, 0.0225]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0688, 0.0733]","(16.278, 17.256]","(60.833, 80.778]","(6.089, 7.561]","(32.333, 36.722]"
12:00 - 13:00,"(0.644, 0.817]","(0.0235, 0.0283]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0812, 0.0873]","(18.367, 19.389]","(80.0, 100.0]","(5.389, 6.461]","(25.778, 30.722]","(0.839, 0.944]","(0.0308, 0.0347]","(0.0328, 0.0418]","(0.000936, 0.00456]","(0.115, 0.122]","(18.2, 19.167]","(59.833, 79.778]","(4.933, 5.978]","(30.111, 34.333]","(0.422, 0.644]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0777, 0.0828]","(19.467, 20.556]","(300.167, 320.111]","(0.58, 1.739]","(23.667, 27.833]","(0.878, 1.167]","(0.017, 0.0225]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0824, 0.087]","(18.233, 19.211]","(80.778, 100.722]","(3.144, 4.617]","(23.556, 27.944]"
13:00 - 14:00,"(0.644, 0.817]","(0.0138, 0.0187]","(0.00771, 0.0242]","(0.000902, 0.00644]","(0.0873, 0.0935]","(19.389, 20.411]","(120.0, 140.0]","(4.317, 5.389]","(20.833, 25.778]","(0.522, 0.628]","(0.0193, 0.0232]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.122, 0.129]","(19.167, 20.133]","(339.056, 359.0]","(4.933, 5.978]","(25.889, 30.111]","(0.422, 0.644]","(0.0119, 0.0168]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0879, 0.093]","(20.556, 21.644]","(200.444, 220.389]","(1.739, 2.878]","(15.333, 19.5]","(0.589, 0.878]","(0.0115, 0.017]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0824, 0.087]","(20.189, 21.167]","(160.556, 180.5]","(1.672, 3.144]","(14.778, 19.167]"
14:00 - 15:00,"(0.644, 0.817]","(0.0138, 0.0187]","(0.00771, 0.0242]","(0.000902, 0.00644]","(0.0997, 0.106]","(21.433, 22.456]","(220.0, 240.0]","(5.389, 6.461]","(20.833, 25.778]","(0.522, 0.628]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.122, 0.129]","(21.1, 22.067]","(19.944, 39.889]","(5.978, 7.022]","(21.667, 25.889]","(0.422, 0.644]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0879, 0.093]","(21.644, 22.733]","(340.056, 360.0]","(2.878, 4.017]","(15.333, 19.5]","(0.589, 0.878]","(0.0115, 0.017]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0824, 0.087]","(21.167, 22.144]","(120.667, 140.611]","(4.617, 6.089]","(14.778, 19.167]"
15:00 - 16:00,"(0.644, 0.817]","(0.0187, 0.0235]","(0.00771, 0.0242]","(0.000902, 0.00644]","(0.0997, 0.106]","(22.456, 23.478]","(40.0, 60.0]","(4.317, 5.389]","(15.889, 20.833]","(0.417, 0.522]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.122, 0.129]","(22.067, 23.033]","(39.889, 59.833]","(4.933, 5.978]","(21.667, 25.889]","(0.196, 0.422]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0879, 0.093]","(21.644, 22.733]","(100.722, 120.667]","(1.739, 2.878]","(11.167, 15.333]","(0.589, 0.878]","(0.0115, 0.017]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0824, 0.087]","(21.167, 22.144]","(60.833, 80.778]","(6.089, 7.561]","(10.389, 14.778]"
16:00 - 17:00,"(0.472, 0.644]","(0.0138, 0.0187]","(0.00771, 0.0242]","(0.000902, 0.00644]","(0.0627, 0.0688]","(22.456, 23.478]","(100.0, 120.0]","(10.75, 11.822]","(20.833, 25.778]","(0.311, 0.417]","(0.0117, 0.0155]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.101, 0.108]","(22.067, 23.033]","(39.889, 59.833]","(5.978, 7.022]","(21.667, 25.889]","(0.196, 0.422]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0828, 0.0879]","(22.733, 23.822]","(100.722, 120.667]","(0.58, 1.739]","(11.167, 15.333]","(0.589, 0.878]","(0.0059, 0.0115]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0642, 0.0688]","(21.167, 22.144]","(100.722, 120.667]","(11.978, 13.45]","(19.167, 23.556]"
17:00 - 18:00,"(0.472, 0.644]","(0.0138, 0.0187]","(0.00771, 0.0242]","(0.000902, 0.00644]","(0.0503, 0.0565]","(20.411, 21.433]","(100.0, 120.0]","(11.822, 12.894]","(20.833, 25.778]","(0.0981, 0.206]","(0.00783, 0.0117]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0655, 0.0726]","(21.1, 22.067]","(119.667, 139.611]","(7.022, 8.067]","(17.444, 21.667]","(0.196, 0.422]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0623, 0.0674]","(20.556, 21.644]","(100.722, 120.667]","(7.433, 8.572]","(19.5, 23.667]","(0.589, 0.878]","(0.0115, 0.017]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.046, 0.0506]","(20.189, 21.167]","(120.667, 140.611]","(14.922, 16.394]","(23.556, 27.944]"
18:00 - 19:00,"(0.644, 0.817]","(0.0235, 0.0283]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0318, 0.038]","(19.389, 20.411]","(120.0, 140.0]","(9.678, 10.75]","(20.833, 25.778]","(0.311, 0.417]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0443, 0.0514]","(18.2, 19.167]","(199.444, 219.389]","(5.978, 7.022]","(25.889, 30.111]","(0.422, 0.644]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0266, 0.0317]","(18.378, 19.467]","(80.778, 100.722]","(9.711, 10.85]","(23.667, 27.833]","(0.589, 0.878]","(0.017, 0.0225]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0369, 0.0414]","(18.233, 19.211]","(100.722, 120.667]","(7.561, 9.033]","(23.556, 27.944]"
19:00 - 20:00,"(0.644, 0.817]","(0.038, 0.0428]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.0133, 0.0195]","(17.344, 18.367]","(140.0, 160.0]","(6.461, 7.533]","(25.778, 30.722]","(0.311, 0.417]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0373, 0.0443]","(16.267, 17.233]","(219.389, 239.333]","(7.022, 8.067]","(25.889, 30.111]","(0.422, 0.644]","(0.0363, 0.0412]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.0163, 0.0214]","(17.289, 18.378]","(0.641, 20.944]","(6.294, 7.433]","(27.833, 32.0]","(0.878, 1.167]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.0141, 0.0187]","(17.256, 18.233]","(340.056, 360.0]","(4.617, 6.089]","(27.944, 32.333]"
20:00 - 21:00,"(1.161, 1.333]","(0.0428, 0.0477]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.00717, 0.0133]","(16.322, 17.344]","(260.0, 280.0]","(2.172, 3.244]","(25.778, 30.722]","(0.417, 0.522]","(0.0232, 0.027]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.0302, 0.0373]","(14.333, 15.3]","(219.389, 239.333]","(5.978, 7.022]","(25.889, 30.111]","(0.422, 0.644]","(0.0314, 0.0363]","(0.0262, 0.0434]","(0.0139, 0.0203]","(0.0214, 0.0266]","(15.111, 16.2]","(300.167, 320.111]","(8.572, 9.711]","(40.333, 44.5]","(1.744, 2.033]","(0.0445, 0.05]","(0.125, 0.149]","(0.00193, 0.00578]","(0.00492, 0.00956]","(16.278, 17.256]","(40.889, 60.833]","(3.144, 4.617]","(27.944, 32.333]"
21:00 - 22:00,"(0.989, 1.161]","(0.038, 0.0428]","(0.0404, 0.0567]","(0.0119, 0.0173]","(0.0133, 0.0195]","(15.3, 16.322]","(300.0, 320.0]","(8.606, 9.678]","(45.556, 50.5]","(0.417, 0.522]","(0.0232, 0.027]","(0.0239, 0.0328]","(0.00456, 0.00811]","(0.0232, 0.0302]","(13.367, 14.333]","(199.444, 219.389]","(7.022, 8.067]","(30.111, 34.333]","(0.644, 0.867]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.0461, 0.0526]","(0.0214, 0.0266]","(14.022, 15.111]","(300.167, 320.111]","(8.572, 9.711]","(48.667, 52.833]","(1.744, 2.033]","(0.0445, 0.05]","(0.102, 0.125]","(0.00578, 0.00956]","(0.00492, 0.00956]","(15.3, 16.278]","(40.889, 60.833]","(4.617, 6.089]","(32.333, 36.722]"
22:00 - 23:00,"(1.161, 1.333]","(0.0428, 0.0477]","(0.0567, 0.0729]","(0.0282, 0.0337]","(0.00717, 0.0133]","(14.278, 15.3]","(320.0, 340.0]","(5.389, 6.461]","(50.5, 55.444]","(0.311, 0.417]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.00456, 0.00811]","(0.0302, 0.0373]","(13.367, 14.333]","(199.444, 219.389]","(7.022, 8.067]","(34.333, 38.556]","(0.422, 0.644]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.0461, 0.0526]","(0.0163, 0.0214]","(12.933, 14.022]","(300.167, 320.111]","(8.572, 9.711]","(52.833, 57.0]","(1.744, 2.033]","(0.0445, 0.05]","(0.102, 0.125]","(0.00193, 0.00578]","(0.00492, 0.00956]","(14.322, 15.3]","(220.389, 240.333]","(4.617, 6.089]","(36.722, 41.111]"
23:00 - 0:00,"(0.989, 1.161]","(0.0428, 0.0477]","(0.0567, 0.0729]","(0.0337, 0.0391]","(0.00717, 0.0133]","(13.256, 14.278]","(160.0, 180.0]","(3.244, 4.317]","(65.333, 70.278]","(0.311, 0.417]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.00456, 0.00811]","(0.0302, 0.0373]","(12.4, 13.367]","(159.556, 179.5]","(4.933, 5.978]","(55.444, 59.667]","(0.422, 0.644]","(0.0217, 0.0266]","(0.00869, 0.0262]","(0.0397, 0.0461]","(0.0163, 0.0214]","(10.756, 11.844]","(240.333, 260.278]","(4.017, 5.156]","(57.0, 61.167]","(1.456, 1.744]","(0.0445, 0.05]","(0.102, 0.125]","(0.00956, 0.0133]","(0.00492, 0.00956]","(11.389, 12.367]","(40.889, 60.833]","(6.089, 7.561]","(58.667, 63.056]"
0:00 - 1:00,"(0.989, 1.161]","(0.038, 0.0428]","(0.0404, 0.0567]","(0.0446, 0.05]","(0.00717, 0.0133]","(13.256, 14.278]","(200.0, 220.0]","(2.172, 3.244]","(60.389, 65.333]","(0.206, 0.311]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.00456, 0.00811]","(0.0232, 0.0302]","(11.433, 12.4]","(219.389, 239.333]","(4.933, 5.978]","(47.0, 51.222]","(0.196, 0.422]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.0268, 0.0332]","(0.0214, 0.0266]","(11.844, 12.933]","(300.167, 320.111]","(7.433, 8.572]","(61.167, 65.333]","(1.167, 1.456]","(0.039, 0.0445]","(0.0788, 0.102]","(0.00956, 0.0133]","(0.00492, 0.00956]","(12.367, 13.344]","(140.611, 160.556]","(4.617, 6.089]","(54.278, 58.667]"
1:00 - 2:00,"(1.161, 1.333]","(0.038, 0.0428]","(0.0567, 0.0729]","(0.0119, 0.0173]","(0.000889, 0.00717]","(12.233, 13.256]","(140.0, 160.0]","(1.081, 2.172]","(65.333, 70.278]","(0.206, 0.311]","(0.0117, 0.0155]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0302, 0.0373]","(11.433, 12.4]","(199.444, 219.389]","(4.933, 5.978]","(51.222, 55.444]","(0.196, 0.422]","(0.0217, 0.0266]","(0.00869, 0.0262]","(0.0268, 0.0332]","(0.0112, 0.0163]","(10.756, 11.844]","(300.167, 320.111]","(6.294, 7.433]","(61.167, 65.333]","(0.878, 1.167]","(0.0335, 0.039]","(0.0556, 0.0788]","(0.0171, 0.0209]","(0.00492, 0.00956]","(11.389, 12.367]","(140.611, 160.556]","(1.672, 3.144]","(63.056, 67.444]"
2:00 - 3:00,"(0.989, 1.161]","(0.0332, 0.038]","(0.0567, 0.0729]","(0.0228, 0.0282]","(0.000889, 0.00717]","(11.211, 12.233]","(60.0, 80.0]","(4.317, 5.389]","(70.278, 75.222]","(0.206, 0.311]","(0.00783, 0.0117]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0302, 0.0373]","(10.467, 11.433]","(199.444, 219.389]","(5.978, 7.022]","(55.444, 59.667]","(0.196, 0.422]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.0139, 0.0203]","(0.0112, 0.0163]","(9.667, 10.756]","(320.111, 340.056]","(5.156, 6.294]","(65.333, 69.5]","(0.878, 1.167]","(0.028, 0.0335]","(0.0323, 0.0556]","(0.0171, 0.0209]","(0.00492, 0.00956]","(10.411, 11.389]","(80.778, 100.722]","(1.672, 3.144]","(67.444, 71.833]"
3:00 - 4:00,"(0.817, 0.989]","(0.0283, 0.0332]","(0.0404, 0.0567]","(0.0282, 0.0337]","(0.000889, 0.00717]","(9.167, 10.189]","(80.0, 100.0]","(5.389, 6.461]","(80.167, 85.111]","(0.0981, 0.206]","(0.00783, 0.0117]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0232, 0.0302]","(9.5, 10.467]","(199.444, 219.389]","(2.844, 3.889]","(55.444, 59.667]","(0.196, 0.422]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.0203, 0.0268]","(0.000908, 0.00611]","(9.667, 10.756]","(320.111, 340.056]","(6.294, 7.433]","(69.5, 73.667]","(0.878, 1.167]","(0.028, 0.0335]","(0.0556, 0.0788]","(0.0133, 0.0171]","(0.00492, 0.00956]","(9.433, 10.411]","(120.667, 140.611]","(1.672, 3.144]","(71.833, 76.222]"
4:00 - 5:00,"(0.644, 0.817]","(0.0235, 0.0283]","(0.0242, 0.0404]","(0.0173, 0.0228]","(0.000889, 0.00717]","(8.144, 9.167]","(100.0, 120.0]","(6.461, 7.533]","(85.111, 90.056]","(0.0981, 0.206]","(0.0117, 0.0155]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0161, 0.0232]","(8.533, 9.5]","(219.389, 239.333]","(1.781, 2.844]","(59.667, 63.889]","(0.196, 0.422]","(0.0266, 0.0314]","(0.0434, 0.0607]","(0.0139, 0.0203]","(0.000908, 0.00611]","(8.578, 9.667]","(300.167, 320.111]","(7.433, 8.572]","(73.667, 77.833]","(0.878, 1.167]","(0.028, 0.0335]","(0.0323, 0.0556]","(0.0209, 0.0247]","(0.00492, 0.00956]","(8.456, 9.433]","(100.722, 120.667]","(3.144, 4.617]","(76.222, 80.611]"
5:00 - 6:00,"(0.817, 0.989]","(0.0235, 0.0283]","(0.0404, 0.0567]","(0.00644, 0.0119]","(0.000889, 0.00717]","(7.122, 8.144]","(100.0, 120.0]","(4.317, 5.389]","(90.056, 95.0]","(0.311, 0.417]","(0.0193, 0.0232]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.00187, 0.00906]","(8.533, 9.5]","(179.5, 199.444]","(1.781, 2.844]","(63.889, 68.111]","(0.422, 0.644]","(0.0266, 0.0314]","(0.0779, 0.0951]","(0.0203, 0.0268]","(0.000908, 0.00611]","(8.578, 9.667]","(300.167, 320.111]","(4.017, 5.156]","(77.833, 82.0]","(1.167, 1.456]","(0.028, 0.0335]","(0.0556, 0.0788]","(0.0247, 0.0284]","(0.00492, 0.00956]","(8.456, 9.433]","(100.722, 120.667]","(3.144, 4.617]","(80.611, 85.0]"
6:00 - 7:00,"(0.817, 0.989]","(0.0235, 0.0283]","(0.0567, 0.0729]","(0.00644, 0.0119]","(0.000889, 0.00717]","(7.122, 8.144]","(80.0, 100.0]","(4.317, 5.389]","(90.056, 95.0]","(0.417, 0.522]","(0.027, 0.0308]","(0.0328, 0.0418]","(0.000936, 0.00456]","(0.00187, 0.00906]","(7.567, 8.533]","(199.444, 219.389]","(2.844, 3.889]","(68.111, 72.333]","(0.644, 0.867]","(0.0266, 0.0314]","(0.0779, 0.0951]","(0.0139, 0.0203]","(0.000908, 0.00611]","(7.489, 8.578]","(260.278, 280.222]","(2.878, 4.017]","(77.833, 82.0]","(1.167, 1.456]","(0.028, 0.0335]","(0.0556, 0.0788]","(0.0209, 0.0247]","(0.00492, 0.00956]","(8.456, 9.433]","(120.667, 140.611]","(0.174, 1.672]","(80.611, 85.0]"
7:00 - 8:00,"(1.161, 1.333]","(0.0283, 0.0332]","(0.0729, 0.0891]","(0.00644, 0.0119]","(0.000889, 0.00717]","(7.122, 8.144]","(140.0, 160.0]","(2.172, 3.244]","(90.056, 95.0]","(0.628, 0.733]","(0.027, 0.0308]","(0.0418, 0.0507]","(0.000936, 0.00456]","(0.00187, 0.00906]","(7.567, 8.533]","(219.389, 239.333]","(2.844, 3.889]","(68.111, 72.333]","(1.089, 1.311]","(0.0314, 0.0363]","(0.0951, 0.112]","(0.00744, 0.0139]","(0.000908, 0.00611]","(7.489, 8.578]","(260.278, 280.222]","(4.017, 5.156]","(77.833, 82.0]","(1.456, 1.744]","(0.028, 0.0335]","(0.102, 0.125]","(0.0209, 0.0247]","(0.00492, 0.00956]","(8.456, 9.433]","(220.389, 240.333]","(3.144, 4.617]","(80.611, 85.0]"
8:00 - 9:00,"(1.333, 1.506]","(0.0332, 0.038]","(0.0891, 0.105]","(0.0119, 0.0173]","(0.000889, 0.00717]","(8.144, 9.167]","(20.0, 40.0]","(3.244, 4.317]","(85.111, 90.056]","(0.839, 0.944]","(0.0308, 0.0347]","(0.0776, 0.0865]","(0.00456, 0.00811]","(0.00187, 0.00906]","(9.5, 10.467]","(39.889, 59.833]","(2.844, 3.889]","(63.889, 68.111]","(1.311, 1.533]","(0.0314, 0.0363]","(0.13, 0.147]","(0.0139, 0.0203]","(0.000908, 0.00611]","(8.578, 9.667]","(260.278, 280.222]","(2.878, 4.017]","(77.833, 82.0]","(1.744, 2.033]","(0.0335, 0.039]","(0.125, 0.149]","(0.0171, 0.0209]","(0.00492, 0.00956]","(8.456, 9.433]","(40.889, 60.833]","(1.672, 3.144]","(80.611, 85.0]"
9:00 - 10:00,"(1.333, 1.506]","(0.038, 0.0428]","(0.0891, 0.105]","(0.0119, 0.0173]","(0.00717, 0.0133]","(9.167, 10.189]","(60.0, 80.0]","(4.317, 5.389]","(80.167, 85.111]","(0.944, 1.05]","(0.0385, 0.0423]","(0.0776, 0.0865]","(0.00811, 0.0117]","(0.0161, 0.0232]","(11.433, 12.4]","(39.889, 59.833]","(3.889, 4.933]","(63.889, 68.111]","(1.533, 1.756]","(0.0461, 0.051]","(0.164, 0.181]","(0.0139, 0.0203]","(0.00611, 0.0112]","(10.756, 11.844]","(320.111, 340.056]","(1.739, 2.878]","(69.5, 73.667]","(1.456, 1.744]","(0.039, 0.0445]","(0.102, 0.125]","(0.0171, 0.0209]","(0.00956, 0.0141]","(10.411, 11.389]","(60.833, 80.778]","(3.144, 4.617]","(71.833, 76.222]"
