Hora,CO_M,NO2_M,NOx_M,SO2_M,O3_M,TMP_M,DV_M,VV_M,HR_M,CO_P,NO2_P,NOx_P,SO2_P,O3_P,TMP_P,DV_P,VV_P,HR_P,CO_T,NO2_T,NOx_T,SO2_T,O3_T,TMP_T,DV_T,VV_T,HR_T,CO_X,NO2_X,NOx_X,SO2_X,O3_X,TMP_X,DV_X,VV_X,HR_X
6:00 - 7:00,"(1.161, 1.333]","(0.0428, 0.0477]","(0.122, 0.138]","(0.000902, 0.00644]","(0.000889, 0.00717]","(11.211, 12.233]","(20.0, 40.0]","(3.244, 4.317]","(60.389, 65.333]","(0.417, 0.522]","(0.0308, 0.0347]","(0.0328, 0.0418]","(0.000936, 0.00456]","(0.00187, 0.00906]","(7.567, 8.533]","(239.333, 259.278]","(5.978, 7.022]","(55.444, 59.667]","(0.644, 0.867]","(0.0363, 0.0412]","(0.0951, 0.112]","(0.00744, 0.0139]","(0.000908, 0.00611]","(6.38, 7.489]","(300.167, 320.111]","(5.156, 6.294]","(52.833, 57.0]","(0.878, 1.167]","(0.0335, 0.039]","(0.0788, 0.102]","(0.00193, 0.00578]","(0.00492, 0.00956]","(9.433, 10.411]","(280.222, 300.167]","(0.174, 1.672]","(58.667, 63.056]"
7:00 - 8:00,"(1.333, 1.506]","(0.0428, 0.0477]","(0.138, 0.154]","(0.000902, 0.00644]","(0.000889, 0.00717]","(11.211, 12.233]","(-0.36, 20.0]","(2.172, 3.244]","(65.333, 70.278]","(0.628, 0.733]","(0.0347, 0.0385]","(0.0507, 0.0597]","(0.000936, 0.00456]","(0.00187, 0.00906]","(7.567, 8.533]","(219.389, 239.333]","(4.933, 5.978]","(59.667, 63.889]","(1.089, 1.311]","(0.0314, 0.0363]","(0.13, 0.147]","(0.00744, 0.0139]","(0.000908, 0.00611]","(6.38, 7.489]","(280.222, 300.167]","(4.017, 5.156]","(52.833, 57.0]","(1.167, 1.456]","(0.0335, 0.039]","(0.102, 0.125]","(0.00193, 0.00578]","(0.00492, 0.00956]","(9.433, 10.411]","(340.056, 360.0]","(0.174, 1.672]","(58.667, 63.056]"
8:00 - 9:00,"(2.194, 2.367]","(0.0428, 0.0477]","(0.17, 0.186]","(0.000902, 0.00644]","(0.000889, 0.00717]","(11.211, 12.233]","(240.0, 260.0]","(1.081, 2.172]","(60.389, 65.333]","(1.05, 1.156]","(0.0423, 0.0462]","(0.0865, 0.0954]","(0.000936, 0.00456]","(0.00187, 0.00906]","(7.567, 8.533]","(219.389, 239.333]","(5.978, 7.022]","(59.667, 63.889]","(1.533, 1.756]","(0.0314, 0.0363]","(0.112, 0.13]","(0.00744, 0.0139]","(0.000908, 0.00611]","(6.38, 7.489]","(300.167, 320.111]","(7.433, 8.572]","(57.0, 61.167]","(2.033, 2.322]","(0.0335, 0.039]","(0.149, 0.172]","(0.00578, 0.00956]","(0.00492, 0.00956]","(9.433, 10.411]","(320.111, 340.056]","(1.672, 3.144]","(58.667, 63.056]"
9:00 - 10:00,"(2.367, 2.539]","(0.0477, 0.0525]","(0.219, 0.235]","(0.00644, 0.0119]","(0.000889, 0.00717]","(12.233, 13.256]","(320.0, 340.0]","(4.317, 5.389]","(55.444, 60.389]","(0.944, 1.05]","(0.0308, 0.0347]","(0.0686, 0.0776]","(0.000936, 0.00456]","(0.00906, 0.0161]","(10.467, 11.433]","(259.278, 279.222]","(3.889, 4.933]","(51.222, 55.444]","(1.533, 1.756]","(0.0363, 0.0412]","(0.13, 0.147]","(0.00744, 0.0139]","(0.000908, 0.00611]","(7.489, 8.578]","(300.167, 320.111]","(6.294, 7.433]","(52.833, 57.0]","(1.744, 2.033]","(0.039, 0.0445]","(0.125, 0.149]","(0.00578, 0.00956]","(0.00956, 0.0141]","(11.389, 12.367]","(40.889, 60.833]","(4.617, 6.089]","(54.278, 58.667]"
10:00 - 11:00,"(1.506, 1.678]","(0.0477, 0.0525]","(0.122, 0.138]","(0.000902, 0.00644]","(0.0133, 0.0195]","(14.278, 15.3]","(120.0, 140.0]","(4.317, 5.389]","(45.556, 50.5]","(0.733, 0.839]","(0.0308, 0.0347]","(0.0597, 0.0686]","(0.000936, 0.00456]","(0.0232, 0.0302]","(12.4, 13.367]","(319.111, 339.056]","(3.889, 4.933]","(47.0, 51.222]","(1.533, 1.756]","(0.051, 0.0559]","(0.181, 0.198]","(0.00744, 0.0139]","(0.00611, 0.0112]","(10.756, 11.844]","(320.111, 340.056]","(7.433, 8.572]","(44.5, 48.667]","(1.167, 1.456]","(0.039, 0.0445]","(0.0788, 0.102]","(0.00193, 0.00578]","(0.0187, 0.0232]","(13.344, 14.322]","(100.722, 120.667]","(6.089, 7.561]","(41.111, 45.5]"
11:00 - 12:00,"(0.817, 0.989]","(0.038, 0.0428]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.0318, 0.038]","(16.322, 17.344]","(120.0, 140.0]","(5.389, 6.461]","(35.667, 40.611]","(0.311, 0.417]","(0.0155, 0.0193]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.0373, 0.0443]","(14.333, 15.3]","(39.889, 59.833]","(4.933, 5.978]","(34.333, 38.556]","(1.089, 1.311]","(0.0461, 0.051]","(0.0951, 0.112]","(0.00744, 0.0139]","(0.0163, 0.0214]","(14.022, 15.111]","(280.222, 300.167]","(2.878, 4.017]","(36.167, 40.333]","(0.878, 1.167]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.0278, 0.0323]","(15.3, 16.278]","(120.667, 140.611]","(4.617, 6.089]","(32.333, 36.722]"
12:00 - 13:00,"(0.644, 0.817]","(0.0283, 0.0332]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.0442, 0.0503]","(18.367, 19.389]","(100.0, 120.0]","(5.389, 6.461]","(30.722, 35.667]","(0.522, 0.628]","(0.0232, 0.027]","(0.0328, 0.0418]","(0.000936, 0.00456]","(0.0443, 0.0514]","(16.267, 17.233]","(59.833, 79.778]","(5.978, 7.022]","(30.111, 34.333]","(1.089, 1.311]","(0.051, 0.0559]","(0.0779, 0.0951]","(0.000884, 0.00744]","(0.0266, 0.0317]","(16.2, 17.289]","(220.389, 240.333]","(2.878, 4.017]","(27.833, 32.0]","(0.878, 1.167]","(0.05, 0.0555]","(0.0788, 0.102]","(0.00193, 0.00578]","(0.0323, 0.0369]","(16.278, 17.256]","(80.778, 100.722]","(3.144, 4.617]","(27.944, 32.333]"
13:00 - 14:00,"(0.644, 0.817]","(0.0332, 0.038]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.0503, 0.0565]","(20.411, 21.433]","(260.0, 280.0]","(6.461, 7.533]","(20.833, 25.778]","(0.311, 0.417]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0514, 0.0584]","(19.167, 20.133]","(319.111, 339.056]","(10.156, 11.2]","(21.667, 25.889]","(0.644, 0.867]","(0.0314, 0.0363]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.0419, 0.047]","(18.378, 19.467]","(280.222, 300.167]","(4.017, 5.156]","(23.667, 27.833]","(0.878, 1.167]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.0414, 0.046]","(18.233, 19.211]","(240.333, 260.278]","(3.144, 4.617]","(23.556, 27.944]"
14:00 - 15:00,"(0.644, 0.817]","(0.0332, 0.038]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.075, 0.0812]","(21.433, 22.456]","(340.0, 360.0]","(7.533, 8.606]","(20.833, 25.778]","(0.0981, 0.206]","(0.00393, 0.00783]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0514, 0.0584]","(21.1, 22.067]","(279.222, 299.167]","(15.378, 16.422]","(17.444, 21.667]","(0.422, 0.644]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0674, 0.0726]","(20.556, 21.644]","(160.556, 180.5]","(5.156, 6.294]","(19.5, 23.667]","(0.295, 0.589]","(0.017, 0.0225]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0597, 0.0642]","(20.189, 21.167]","(220.389, 240.333]","(6.089, 7.561]","(19.167, 23.556]"
15:00 - 16:00,"(0.644, 0.817]","(0.038, 0.0428]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.075, 0.0812]","(22.456, 23.478]","(320.0, 340.0]","(7.533, 8.606]","(20.833, 25.778]","(0.0981, 0.206]","(0.00393, 0.00783]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0514, 0.0584]","(22.067, 23.033]","(279.222, 299.167]","(14.333, 15.378]","(17.444, 21.667]","(0.422, 0.644]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0623, 0.0674]","(21.644, 22.733]","(120.667, 140.611]","(6.294, 7.433]","(15.333, 19.5]","(0.589, 0.878]","(0.0225, 0.028]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0642, 0.0688]","(21.167, 22.144]","(180.5, 200.444]","(9.033, 10.506]","(14.778, 19.167]"
16:00 - 17:00,"(0.644, 0.817]","(0.038, 0.0428]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.075, 0.0812]","(22.456, 23.478]","(320.0, 340.0]","(7.533, 8.606]","(20.833, 25.778]","(0.0981, 0.206]","(0.00393, 0.00783]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0514, 0.0584]","(22.067, 23.033]","(279.222, 299.167]","(14.333, 15.378]","(17.444, 21.667]","(0.422, 0.644]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0623, 0.0674]","(21.644, 22.733]","(120.667, 140.611]","(6.294, 7.433]","(15.333, 19.5]","(0.589, 0.878]","(0.0225, 0.028]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0642, 0.0688]","(21.167, 22.144]","(180.5, 200.444]","(9.033, 10.506]","(14.778, 19.167]"
17:00 - 18:00,"(0.472, 0.644]","(0.0235, 0.0283]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0688, 0.075]","(21.433, 22.456]","(100.0, 120.0]","(11.822, 12.894]","(25.778, 30.722]","(0.0981, 0.206]","(0.00783, 0.0117]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0584, 0.0655]","(22.067, 23.033]","(259.278, 279.222]","(13.289, 14.333]","(21.667, 25.889]","(0.422, 0.644]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0674, 0.0726]","(21.644, 22.733]","(140.611, 160.556]","(5.156, 6.294]","(15.333, 19.5]","(0.589, 0.878]","(0.0225, 0.028]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0597, 0.0642]","(20.189, 21.167]","(120.667, 140.611]","(17.867, 19.339]","(23.556, 27.944]"
18:00 - 19:00,"(0.472, 0.644]","(0.0235, 0.0283]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.038, 0.0442]","(19.389, 20.411]","(120.0, 140.0]","(11.822, 12.894]","(35.667, 40.611]","(0.206, 0.311]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0373, 0.0443]","(18.2, 19.167]","(239.333, 259.278]","(9.111, 10.156]","(30.111, 34.333]","(1.978, 2.2]","(0.0363, 0.0412]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.0368, 0.0419]","(18.378, 19.467]","(80.778, 100.722]","(14.267, 15.406]","(32.0, 36.167]","(0.589, 0.878]","(0.0225, 0.028]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0369, 0.0414]","(17.256, 18.233]","(120.667, 140.611]","(19.339, 20.811]","(36.722, 41.111]"
19:00 - 20:00,"(0.644, 0.817]","(0.0283, 0.0332]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0257, 0.0318]","(17.344, 18.367]","(120.0, 140.0]","(9.678, 10.75]","(40.611, 45.556]","(0.522, 0.628]","(0.0347, 0.0385]","(0.0328, 0.0418]","(0.000936, 0.00456]","(0.0161, 0.0232]","(16.267, 17.233]","(39.889, 59.833]","(4.933, 5.978]","(42.778, 47.0]","(1.089, 1.311]","(0.0559, 0.0608]","(0.0951, 0.112]","(0.000884, 0.00744]","(0.00611, 0.0112]","(17.289, 18.378]","(60.833, 80.778]","(9.711, 10.85]","(36.167, 40.333]","(0.589, 0.878]","(0.0335, 0.039]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0232, 0.0278]","(16.278, 17.256]","(100.722, 120.667]","(10.506, 11.978]","(41.111, 45.5]"
20:00 - 21:00,"(0.472, 0.644]","(0.0283, 0.0332]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0195, 0.0257]","(17.344, 18.367]","(140.0, 160.0]","(7.533, 8.606]","(45.556, 50.5]","(0.628, 0.733]","(0.0385, 0.0423]","(0.0418, 0.0507]","(0.000936, 0.00456]","(0.00906, 0.0161]","(15.3, 16.267]","(79.778, 99.722]","(2.844, 3.889]","(42.778, 47.0]","(1.089, 1.311]","(0.051, 0.0559]","(0.0779, 0.0951]","(0.000884, 0.00744]","(0.00611, 0.0112]","(15.111, 16.2]","(40.889, 60.833]","(7.433, 8.572]","(40.333, 44.5]","(0.589, 0.878]","(0.028, 0.0335]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0187, 0.0232]","(15.3, 16.278]","(80.778, 100.722]","(4.617, 6.089]","(45.5, 49.889]"
21:00 - 22:00,"(0.472, 0.644]","(0.0283, 0.0332]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0195, 0.0257]","(17.344, 18.367]","(140.0, 160.0]","(7.533, 8.606]","(45.556, 50.5]","(0.628, 0.733]","(0.0385, 0.0423]","(0.0418, 0.0507]","(0.000936, 0.00456]","(0.00906, 0.0161]","(15.3, 16.267]","(79.778, 99.722]","(2.844, 3.889]","(42.778, 47.0]","(1.089, 1.311]","(0.051, 0.0559]","(0.0779, 0.0951]","(0.000884, 0.00744]","(0.00611, 0.0112]","(15.111, 16.2]","(40.889, 60.833]","(7.433, 8.572]","(40.333, 44.5]","(0.589, 0.878]","(0.028, 0.0335]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0187, 0.0232]","(15.3, 16.278]","(80.778, 100.722]","(4.617, 6.089]","(45.5, 49.889]"
22:00 - 23:00,"(0.817, 0.989]","(0.0428, 0.0477]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.00717, 0.0133]","(16.322, 17.344]","(120.0, 140.0]","(3.244, 4.317]","(45.556, 50.5]","(0.417, 0.522]","(0.0308, 0.0347]","(0.0328, 0.0418]","(0.000936, 0.00456]","(0.00906, 0.0161]","(14.333, 15.3]","(199.444, 219.389]","(2.844, 3.889]","(38.556, 42.778]","(1.089, 1.311]","(0.0461, 0.051]","(0.0779, 0.0951]","(0.000884, 0.00744]","(0.00611, 0.0112]","(15.111, 16.2]","(40.889, 60.833]","(5.156, 6.294]","(40.333, 44.5]","(0.878, 1.167]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.0141, 0.0187]","(14.322, 15.3]","(40.889, 60.833]","(4.617, 6.089]","(45.5, 49.889]"
23:00 - 0:00,"(0.989, 1.161]","(0.0477, 0.0525]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.000889, 0.00717]","(16.322, 17.344]","(120.0, 140.0]","(3.244, 4.317]","(50.5, 55.444]","(0.311, 0.417]","(0.0232, 0.027]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.0161, 0.0232]","(13.367, 14.333]","(159.556, 179.5]","(3.889, 4.933]","(42.778, 47.0]","(0.867, 1.089]","(0.0412, 0.0461]","(0.0607, 0.0779]","(0.000884, 0.00744]","(0.000908, 0.00611]","(14.022, 15.111]","(340.056, 360.0]","(4.017, 5.156]","(36.167, 40.333]","(0.878, 1.167]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.0141, 0.0187]","(14.322, 15.3]","(60.833, 80.778]","(4.617, 6.089]","(45.5, 49.889]"
0:00 - 1:00,"(0.989, 1.161]","(0.0477, 0.0525]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.000889, 0.00717]","(13.256, 14.278]","(-0.36, 20.0]","(3.244, 4.317]","(40.611, 45.556]","(0.417, 0.522]","(0.0193, 0.0232]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.0161, 0.0232]","(9.5, 10.467]","(199.444, 219.389]","(4.933, 5.978]","(42.778, 47.0]","(0.867, 1.089]","(0.0363, 0.0412]","(0.0607, 0.0779]","(0.000884, 0.00744]","(0.000908, 0.00611]","(8.578, 9.667]","(180.5, 200.444]","(1.739, 2.878]","(40.333, 44.5]","(1.167, 1.456]","(0.0445, 0.05]","(0.0788, 0.102]","(0.00193, 0.00578]","(0.00492, 0.00956]","(10.411, 11.389]","(100.722, 120.667]","(1.672, 3.144]","(41.111, 45.5]"
