date,pm25,pm10,o3,no2,so2,co
2019/7/12,81,25,58,27,2,7
2019/7/13,66,35,54,24,4,8
2019/7/14,83,32,54,27,4,8
2019/7/15,75,30,49,22,5,6
2019/7/16,70,26,35,25,3,6
2019/7/17,59,35,45,28,9,8
2019/7/18,76,22,47,27,3,7
2019/7/19,55,32,70,24,2,6
2019/7/20,71,19,41,17,3,5
2019/7/21,49,22,52,22,3,6
2019/7/22,49,26,44,25,3,6
2019/7/23,59,26,34,31,2,8
2019/7/24,64,28,23,34,2,9
2019/7/25,71,26,24,32,2,9
2019/7/26,69,16,52,21,2,6
2019/7/27,41,21,54,20,2,5
2019/7/28,54,24,41,27,3,8
2019/7/29,54,29,48,21,3,5
2019/7/30,61,39,45,25,7,6
2019/7/31,81,28,48,23,5,6
2019/8/1,61,26,65,27,7,6
2019/8/2,56,27,63,22,3,6
2019/8/3,58,23,64,15,5,4
2019/8/4,57,24,51,26,4,7
2019/8/5,59,24,42,29,3,8
2019/8/6,62,20,31,30,2,8
2019/8/7,54,19,58,24,3,7
2019/8/8,51,38,46,31,7,8
2019/8/9,85,21,25,18,4,6
2019/8/10,52,22,47,20,3,6
2019/8/11,59,14,40,20,3,9
2019/8/12,42,24,51,21,4,
2019/8/13,57,20,46,23,3,6
2019/8/14,53,20,57,24,4,7
2019/8/15,55,27,59,25,4,
2019/8/16,66,31,67,26,3,5
2019/8/17,75,29,63,24,12,5
2019/8/18,70,21,24,15,4,
2019/8/19,52,24,33,17,4,
2019/8/20,42,32,46,26,4,8
2019/8/21,55,40,38,29,4,9
2019/8/22,68,40,53,31,2,9
2019/8/23,80,37,70,34,2,10
2019/8/24,78,33,53,24,2,8
2019/8/25,71,31,64,33,3,9
2019/8/26,64,36,65,29,4,10
2019/8/27,69,40,42,25,2,7
2019/8/28,70,40,61,25,3,7
2019/8/29,67,38,55,29,3,8
2019/8/30,62,37,48,23,5,7
2019/8/31,54,34,62,18,3,6
2019/9/1,54,30,36,18,1,7
2019/9/2,48,31,45,20,2,6
2019/9/3,59,39,43,27,2,9
2019/9/4,61,33,50,28,2,8
2019/9/5,59,38,56,25,2,7
2019/9/6,71,38,41,27,11,8
2019/9/7,76,27,56,22,3,7
2019/9/8,55,37,45,31,3,8
2019/9/9,64,31,41,29,3,9
2019/9/10,65,33,32,25,2,9
2019/9/11,60,30,29,23,7,8
2019/9/12,58,23,13,26,1,10
2019/9/13,41,18,26,20,1,7
2019/9/14,32,18,57,17,1,7
2019/9/15,34,34,52,18,15,7
2019/9/16,74,34,49,28,4,9
2019/9/17,70,15,30,21,1,8
2019/9/18,37,25,33,32,2,11
2019/9/19,59,41,59,34,6,12
2019/9/20,82,36,43,26,2,9
2019/9/21,67,30,56,18,5,7
2019/9/22,60,32,61,24,4,7
2019/9/23,62,42,63,27,15,9
2019/9/24,78,46,58,36,3,11
2019/9/25,100,46,51,29,2,10
2019/9/26,97,31,46,23,1,7
2019/9/27,58,35,40,25,3,8
2019/9/28,63,12,12,13,2,6
2019/9/29,26,12,24,16,1,6
2019/9/30,26,22,36,21,2,9
2019/4/1,81,51,42,37,16,11
2019/4/2,86,48,50,29,,
2019/4/3,72,49,85,31,,
2019/4/4,88,52,59,32,,
2019/4/5,88,49,65,28,,
2019/4/6,89,43,67,22,,
2019/4/7,83,46,81,27,,
2019/4/8,91,32,61,22,,
2019/4/9,65,50,112,33,,
2019/4/10,90,50,76,26,,
2019/4/11,67,55,60,28,,
2019/4/12,75,38,73,21,,
2019/4/13,58,66,113,27,,
2019/4/14,126,62,105,31,,
2019/4/15,106,60,94,26,,
2019/4/16,101,56,99,31,,
2019/4/17,100,40,63,24,,
2019/4/18,73,44,79,12,,
2019/4/19,65,40,83,23,,
2019/4/20,64,48,90,23,,
2019/4/21,78,55,86,34,,
2019/4/22,92,57,69,34,,
2019/4/23,100,60,52,37,,
2019/4/24,107,61,84,32,2,6
2019/4/25,111,57,86,31,19,6
2019/4/26,103,57,82,32,3,6
2019/4/27,109,56,103,31,2,8
2019/4/28,108,51,37,41,3,9
2019/4/29,103,48,69,34,2,8
2019/4/30,98,30,4,41,3,10
2019/5/1,68,45,48,21,3,4
2019/5/2,63,47,57,40,2,9
2019/5/3,81,57,74,34,3,8
2019/5/4,110,48,64,21,1,6
2019/5/5,96,57,53,25,1,7
2019/5/6,112,55,55,36,3,11
2019/5/7,104,53,47,33,2,9
2019/5/8,89,54,42,31,2,9
2019/5/9,90,41,73,22,2,6
2019/5/10,88,65,97,27,14,7
2019/5/11,135,79,87,29,3,9
2019/5/12,158,80,85,37,4,11
2019/5/13,161,72,82,45,3,12
2019/5/14,154,75,94,27,19,7
2019/5/15,151,71,72,39,3,12
2019/5/16,146,45,57,33,2,8
2019/5/17,92,44,67,29,2,7
2019/5/18,82,36,71,23,3,5
2019/5/19,74,46,86,25,1,5
2019/5/20,93,48,84,32,2,8
2019/5/21,80,42,93,32,2,9
2019/5/22,81,50,86,31,3,8
2019/5/23,87,44,83,25,2,7
2019/5/24,89,49,74,23,19,7
2019/5/25,98,37,64,18,10,6
2019/5/26,75,43,87,23,3,7
2019/5/27,77,7,84,27,10,7
2019/5/28,38,54,88,22,2,8
2019/5/29,92,51,77,25,2,8
2019/5/30,91,35,51,22,1,7
2019/5/31,63,21,30,18,2,6
2019/6/1,38,14,24,11,1,5
2019/6/2,30,21,21,18,3,6
2019/6/3,44,20,24,26,2,9
2019/6/4,48,20,34,29,2,10
2019/6/5,43,22,65,32,1,10
2019/6/6,58,31,56,37,2,12
2019/6/7,75,38,54,26,3,11
2019/6/8,76,32,64,20,1,6
2019/6/9,68,38,40,21,2,6
2019/6/10,70,22,40,14,1,4
2019/6/11,48,27,49,27,9,7
2019/6/12,55,26,37,21,3,6
2019/6/13,48,23,46,24,1,6
2019/6/14,46,39,76,25,7,7
2019/6/15,78,36,84,22,2,7
2019/6/16,76,43,65,23,6,7
2019/6/17,80,34,66,23,2,7
2019/6/18,67,23,54,30,9,8
2019/6/19,61,,78,32,5,9
2019/6/21,84,37,61,26,4,7
2019/6/22,78,34,51,23,3,8
2019/6/23,68,19,26,28,2,10
2019/6/24,46,24,35,27,3,8
2019/6/25,48,32,44,31,4,10
2019/6/26,59,27,33,18,2,6
2019/6/27,42,29,39,18,3,6
2019/6/28,48,18,19,13,1,4
2019/6/29,27,,,,,
2019/1/1,143,68,44,34,18,12
2019/1/2,118,57,41,49,8,16
2019/1/3,93,55,59,43,6,15
2019/1/4,91,67,71,45,14,12
2019/1/5,118,54,63,37,10,13
2019/1/6,90,64,44,43,9,16
2019/1/7,103,60,46,44,6,12
2019/1/8,94,53,49,33,26,11
2019/1/9,88,41,49,25,4,9
2019/1/10,69,46,68,35,7,12
2019/1/11,78,53,50,37,17,12
2019/1/12,104,32,39,20,3,9
2019/1/13,75,42,28,25,15,11
2019/1/14,78,50,54,31,24,12
2019/1/15,95,55,61,32,18,12
2019/1/16,97,52,44,35,27,12
2019/1/17,93,47,36,31,17,11
2019/1/18,76,46,44,36,7,10
2019/1/19,68,36,42,24,19,6
2019/1/20,67,48,52,42,32,10
2019/1/21,81,49,47,43,4,12
2019/1/22,71,37,47,37,3,11
2019/1/23,50,44,31,36,4,11
